No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39266,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Renhlakanipho Projects,PPE021 Sanitising of buildings,,2020-08-10,1.00,270000,Other UOM,270000,270000
39267,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ronbus Trading And Projects,PPE021 Sanitising of buildings,,2020-08-10,9.00,270000,Other UOM,2430000,2430000
39268,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Kalako Developers Civil And Secu,PPE021 Sanitising of buildings,,2020-09-10,4.00,270000,Other UOM,1080000,1080000
39269,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,3.00,270000,Other UOM,810000,810000
39270,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,4.00,270000,Other UOM,1080000,1080000
39271,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Eavesdrop Trading 12,PPE021 Sanitising of buildings,,2020-10-14,1.00,270000,Other UOM,270000,270000
39272,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Pmr Developers And Projects Mana,PPE021 Sanitising of buildings,,2020-10-14,18.00,270000,Other UOM,4860000,4860000
39273,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Vic Leo Trading,PPE021 Sanitising of buildings,,2020-10-14,1.00,270000,Other UOM,270000,270000
39274,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,270000,Other UOM,270000,270000
39275,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Meltin Properties 42,PPE021 Sanitising of buildings,,2020-11-19,1.00,270000,Other UOM,270000,270000
39276,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Abaphumeleli Trading 101,PPE021 Sanitising of buildings,,2020-10-21,1.00,270000,Other UOM,270000,270000
39277,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mapheceka Construction And Proje,PPE021 Sanitising of buildings,,2020-10-21,105.00,270000,Other UOM,28350000,28350000
39278,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Dikeledi Enterprise Bookshop And,PPE021 Sanitising of buildings,,2020-10-28,2.00,270000,Other UOM,540000,540000
39279,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ikatliseng Solutions (Pty) Ltd,PPE021 Sanitising of buildings,,2020-10-28,1.00,270000,Other UOM,270000,270000
39280,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Tona Trading Enterprise,PPE021 Sanitising of buildings,,2020-10-28,2.00,270000,Other UOM,540000,540000
39281,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Muta Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,271900,Other UOM,271900,271900
39282,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,2.00,273000,Other UOM,546000,546000
39283,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,273526,Other UOM,273526,273526
39284,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Chosen Multipurpose,PPE021 Sanitising of buildings,,2020-08-10,1.00,274900,Other UOM,274900,274900
39285,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Muta Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,274900,Other UOM,274900,274900
39286,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Chosen Multipurpose,PPE021 Sanitising of buildings,,2020-08-10,1.00,275000,Other UOM,275000,275000
39287,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,The Light Cleaning Service,PPE021 Sanitising of buildings,,2020-08-10,1.00,275000,Other UOM,275000,275000
39288,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,2.00,275000,Other UOM,550000,550000
39289,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,3.00,275000,Other UOM,825000,825000
39290,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Kmm Travels,PPE021 Sanitising of buildings,,2020-11-19,1.00,275000,Other UOM,275000,275000
39291,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Meltin Properties 42,PPE021 Sanitising of buildings,,2020-11-19,1.00,275000,Other UOM,275000,275000
39292,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Maboho Consulting,PPE021 Sanitising of buildings,,2020-10-21,1.00,275000,Other UOM,275000,275000
39293,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Desteny Child Trading And Projec,PPE021 Sanitising of buildings,,2020-10-28,1.00,275000,Other UOM,275000,275000
39294,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Muta Investment Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,275100,Other UOM,275100,275100
39295,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Finds Energy Suppliers,PPE021 Sanitising of buildings,,2020-08-10,1.00,275419,Other UOM,275419,275419
39296,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,276573,Other UOM,276573,276573
39297,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,276976,Other UOM,276976,276976
39298,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Direct Energy,PPE021 Sanitising of buildings,,2020-09-10,1.00,277000,Other UOM,277000,277000
39299,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Bss Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,278000,Other UOM,278000,278000
39300,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ndozi Multy-Project,PPE021 Sanitising of buildings,,2020-05-11,1.00,278000,Other UOM,278000,278000
39301,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,278875,Other UOM,278875,278875
39302,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Bz Association Pty Ltd,PPE021 Sanitising of buildings,,2020-10-28,1.00,279000,Other UOM,279000,279000
39303,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Industrial Fan Engineering,PPE021 Sanitising of buildings,,2020-08-10,1.00,279250,Other UOM,279250,279250
39304,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mpale Investments Holdings,PPE021 Sanitising of buildings,,2020-08-10,1.00,279285,Other UOM,279285,279285
39305,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Finds Energy Suppliers,PPE021 Sanitising of buildings,,2020-08-10,1.00,279669,Other UOM,279669,279669
39306,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Dikwankwetla 213,PPE021 Sanitising of buildings,,2020-08-10,1.00,280000,Other UOM,280000,280000
39307,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mr Meyer,PPE021 Sanitising of buildings,,2020-08-10,3.00,280000,Other UOM,840000,840000
39308,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ndimo Trading Cc,PPE021 Sanitising of buildings,,2020-08-10,1.00,280000,Other UOM,280000,280000
39309,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Nembs Projects,PPE021 Sanitising of buildings,,2020-08-10,15.00,280000,Other UOM,4200000,4200000
39310,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ngobese Chemical Services And Pr,PPE021 Sanitising of buildings,,2020-08-10,4.00,280000,Other UOM,1120000,1120000
39311,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Tshammbobo,PPE021 Sanitising of buildings,,2020-08-10,1.00,280000,Other UOM,280000,280000
39312,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Abira Projects,PPE021 Sanitising of buildings,,2020-09-10,1.00,280000,Other UOM,280000,280000
39313,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Limgroup Consulting Services,PPE021 Sanitising of buildings,,2020-09-10,1.00,280000,Other UOM,280000,280000
39314,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Emprior Security Services,PPE021 Sanitising of buildings,,2020-10-14,1.00,280000,Other UOM,280000,280000
39315,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Tyger Roar Trading,PPE021 Sanitising of buildings,,2020-10-21,1.00,280000,Other UOM,280000,280000
39316,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Ikatliseng Solutions (Pty) Ltd,PPE021 Sanitising of buildings,,2020-10-28,1.00,280000,Other UOM,280000,280000
39317,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Everland Trading 16,PPE021 Sanitising of buildings,,2020-08-10,1.00,280600,Other UOM,280600,280600
39318,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article3,https://www.dailymaverick.co.za/article/2021-08-26-the-great-covid-19-swindle-part-two-gauteng-department-of-education-and-the-r431m-school-sanitation-project/,The great Covid-19 swindle (Part Two): Gauteng Departme...,Mark Heywood,2021-08-26,https://www.dailymaverick.co.za/wp-content/uploads/2021/08/Mark-Fogging-01-copy-scaled.jpg?w=1280,Education,Mab Edd Group,PPE021 Sanitising of buildings,,2020-10-28,2.00,281500,Other UOM,563000,563000
