Id,article_no,article_link,authors,publish_date,image_url,title
48,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
49,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
50,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
51,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
52,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
53,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
54,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
55,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
56,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
57,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
58,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
